idhogar,rooms,r4m1,r4t1,paredblolad,pisomoscer,pisocemento,cielorazo,epared1,epared3,etecho1,etecho3,eviv1,eviv3,hogar_nin,edjefe,meaneduc,overcrowding,SQBescolari,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBmeaned,wall_material,floor_material,wall_quality,roof_quality,floor_quality,walls+roof+floor_quality,no_basic_facilities,extra_facilities,v18q-min,estadocivil1-sum,estadocivil1-mean,instlevel1-max,instlevel1-sum,instlevel1-mean,instlevel2-max,instlevel2-sum,instlevel2-mean,instlevel8-max,instlevel8-sum,instlevel8-mean,escolari-min,escolari-max,escolari-sum,escolari-mean,Target
bf4205356,9,0,0,1,1,0,1,0,1,0,1,0,1,0,10.0,10.5,0.40000001,100,100,0,0.16000001,110.25,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,10,11,21,10.5,4
c6401f74a,4,1,2,1,0,1,1,0,1,0,1,0,1,2,6.0,10.8,2.3333333,36,36,4,5.4444442,116.64001,0,1,2,2,2,6,1,4,1,2,0.2857142857142857,1,2,0.2857142857142857,0,0,0.0,1,2,0.2857142857142857,0,13,54,7.714285714285714,4
c51872422,4,0,2,0,1,0,1,1,0,0,0,0,1,2,2.0,5.6666665,2.5,4,4,4,6.25,32.111111,4,0,0,1,2,3,1,3,0,2,0.4,1,2,0.4,1,2,0.4,1,1,0.2,0,12,17,3.4,2
b7087ef92,6,0,0,1,1,0,1,0,1,1,0,0,1,0,17.0,15.0,1.0,289,289,0,1.0,225.0,0,0,2,0,2,4,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,14,17,45,15.0,4
aa3fc3595,9,0,0,1,1,0,1,0,1,0,1,0,1,2,0.0,23.0,1.0,144,0,4,1.0,529.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.3333333333333333,9,12,32,10.666666666666666,4
cfce86e8d,8,0,0,1,1,0,1,0,1,0,1,0,1,0,17.0,16.0,1.0,289,289,0,1.0,256.0,0,0,2,2,2,6,1,4,1,0,0.0,0,0,0.0,0,0,0.0,1,4,0.8,15,17,80,16.0,4
be013e977,8,1,2,1,1,0,1,0,1,0,1,0,1,2,21.0,18.5,1.3333334,441,441,4,1.7777778999999998,342.25,0,0,2,2,2,6,1,4,1,2,0.5,1,2,0.5,0,0,0.0,1,1,0.25,0,21,37,9.25,4
fa2b66b43,4,0,0,1,1,0,1,0,1,0,1,0,1,0,6.0,8.666667,1.5,36,36,0,2.25,75.111115,0,0,2,2,2,6,1,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,11,26,8.666666666666666,4
aa2948d67,4,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,11.0,0.5,121,0,0,0.25,121.0,0,0,2,2,2,6,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,11,11,11,11.0,4
a05d76afb,5,0,0,1,1,0,1,0,1,0,0,0,1,0,16.0,14.5,0.66666669,256,256,0,0.44444448,210.25,0,0,2,1,2,5,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,2,1.0,13,16,29,14.5,4
507d47ecd,4,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,14.0,1.0,225,0,0,1.0,196.0,0,0,2,2,2,6,1,5,1,0,0.0,0,0,0.0,0,0,0.0,1,2,1.0,13,15,28,14.0,4
c0ab646bb,5,2,2,1,1,0,0,0,1,0,1,0,1,2,0.0,14.5,1.3333334,225,0,4,1.7777778999999998,210.25,0,0,2,2,2,6,2,2,0,2,0.5,1,2,0.5,0,0,0.0,1,2,0.5,0,15,29,7.25,4
518ac53b2,3,3,3,1,0,1,0,0,0,1,0,1,0,3,11.0,11.0,2.5,121,121,9,6.25,121.0,0,1,1,0,0,1,2,2,0,3,0.6,1,2,0.4,1,1,0.2,0,0,0.0,0,11,24,4.8,2
3d0362e41,4,0,0,0,1,0,0,0,1,0,1,0,0,1,6.0,6.0,1.5,36,36,1,2.25,36.0,5,0,2,2,1,5,2,1,0,0,0.0,0,0,0.0,1,1,0.3333333333333333,0,0,0.0,4,6,16,5.333333333333333,4
699e79b5e,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0.0,1.5,2.0,0,0,0,4.0,2.25,4,0,0,0,1,1,2,1,0,0,0.0,1,1,0.5,1,1,0.5,0,0,0.0,0,3,3,1.5,3
68c014624,4,0,1,1,1,0,0,0,1,0,1,0,1,1,0.0,4.25,1.6666666,0,0,1,2.7777777,18.0625,0,0,2,2,2,6,2,3,0,1,0.2,1,2,0.4,1,1,0.2,0,0,0.0,0,6,17,3.4,4
51dbfbe84,4,0,0,1,1,0,1,0,1,0,1,0,1,0,15.0,15.0,0.5,225,225,0,0.25,225.0,0,0,2,2,2,6,0,2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,15,15,15,15.0,4
54d210cd8,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,6.0,1.0,36,0,0,1.0,36.0,4,5,1,1,2,4,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,12,6.0,4
1ce1fca25,5,1,1,1,1,0,1,0,0,1,0,0,0,3,0.0,15.0,1.6666666,36,0,9,2.7777777,225.0,0,0,1,0,1,2,1,2,0,0,0.0,0,0,0.0,1,2,0.4,0,0,0.0,4,12,39,7.8,4
b9a28744e,5,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,9.5,1.3333334,81,81,0,1.7777778999999998,90.25,4,5,1,1,1,3,0,4,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.25,6,14,38,9.5,4
56683908c,4,0,0,1,1,0,1,0,0,0,1,1,0,3,3.0,4.5,2.5,9,9,9,6.25,20.25,0,0,1,2,0,3,1,2,0,0,0.0,0,0,0.0,1,2,0.4,0,0,0.0,3,10,31,6.2,4
db08aa8ba,5,0,0,1,0,1,1,0,0,0,1,0,0,1,0.0,13.5,1.0,81,0,1,1.0,182.25,0,1,1,2,1,4,0,3,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,10,27,9.0,4
92cdb7d29,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,9.0,1.0,81,0,1,1.0,81.0,4,1,1,1,1,3,2,3,1,1,0.5,0,0,0.0,1,1,0.5,0,0,0.0,3,9,12,6.0,3
8f4f2e9c8,4,0,0,0,0,1,1,0,1,0,1,0,1,0,0.0,4.0,1.5,0,0,0,2.25,16.0,2,1,2,2,2,6,1,2,0,0,0.0,1,1,0.3333333333333333,0,0,0.0,0,0,0.0,0,6,12,4.0,1
fa67d6fd5,5,0,0,1,1,0,1,0,1,0,0,0,0,1,10.0,11.0,1.6666666,100,100,1,2.7777777,121.0,0,0,2,1,1,4,1,2,0,0,0.0,0,0,0.0,1,1,0.2,1,1,0.2,5,15,49,9.8,2
d2dfde10d,3,0,0,1,1,0,1,0,1,0,1,0,1,0,14.0,17.0,2.0,196,196,0,4.0,289.0,0,0,2,2,2,6,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,14,20,34,17.0,4
50fb716a9,5,0,0,1,1,0,1,0,0,0,0,0,1,0,3.0,2.5,1.0,9,9,0,1.0,6.25,0,0,1,1,2,4,1,3,0,0,0.0,0,0,0.0,1,2,1.0,0,0,0.0,2,3,5,2.5,2
2f0b233a1,5,2,2,1,1,0,1,0,1,0,1,0,1,2,6.0,9.5,1.3333334,36,36,4,1.7777778999999998,90.25,0,0,2,2,2,6,1,2,0,2,0.5,1,2,0.5,0,0,0.0,1,1,0.25,0,13,19,4.75,3
0d29879d6,7,0,0,1,1,0,1,0,1,1,0,0,0,0,11.0,9.333333,1.0,121,121,0,1.0,87.11110699999999,0,0,2,0,1,3,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,11,28,9.333333333333334,1
0932e7898,5,0,0,1,1,0,1,0,1,0,0,0,1,1,0.0,14.5,1.0,289,0,1,1.0,210.25,0,0,2,1,2,5,1,4,1,0,0.0,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,7,17,36,12.0,4
326276492,5,0,0,1,1,0,1,0,1,0,1,0,0,0,0.0,14.0,1.0,196,0,0,1.0,196.0,0,0,2,2,1,5,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,2,1.0,14,14,28,14.0,4
dfddfc87a,6,0,0,1,1,0,1,0,0,0,0,0,1,0,0.0,6.0,1.0,64,0,0,1.0,36.0,0,0,1,1,2,4,1,3,1,0,0.0,0,0,0.0,1,1,0.3333333333333333,0,0,0.0,2,8,18,6.0,4
95cca5c07,5,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,7.0,0.66666669,9,0,0,0.44444448,49.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,3,11,14,7.0,2
fdd35c1ca,3,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0,8.0,1.0,64,0,0,1.0,64.0,1,0,2,2,2,6,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,8,8,8.0,4
b4ca30254,9,1,1,1,1,0,1,0,1,0,1,0,1,2,0.0,13.0,1.5,256,0,4,2.25,169.0,0,0,2,2,2,6,1,5,1,1,0.16666666666666666,1,1,0.16666666666666666,0,0,0.0,1,3,0.5,0,16,58,9.666666666666666,4
b686896bc,5,1,2,0,1,0,1,0,0,1,0,1,0,3,0.0,9.0,2.5,81,0,9,6.25,81.0,4,0,1,0,0,1,1,2,0,2,0.4,1,1,0.2,1,2,0.4,0,0,0.0,0,9,26,5.2,2
63b391b92,3,0,0,1,1,0,1,0,1,0,1,0,1,0,9.0,9.0,0.5,81,81,0,0.25,81.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,9,9.0,4
379646ab0,4,0,0,1,1,0,1,0,1,0,1,0,1,0,14.0,14.0,1.0,196,196,0,1.0,196.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,1,2,1.0,14,14,28,14.0,4
980b28caa,6,0,0,1,1,0,1,0,1,0,1,0,1,0,14.0,14.0,0.5,196,196,0,0.25,196.0,0,0,2,2,2,6,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,14,14,14,14.0,4
35039efd3,9,0,0,1,1,0,1,0,1,0,1,0,1,0,16.0,16.0,0.60000002,256,256,0,0.36000001,256.0,0,0,2,2,2,6,1,3,0,0,0.0,0,0,0.0,0,0,0.0,1,2,1.0,16,16,32,16.0,4
a2630e89f,9,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,17.0,0.25,289,0,0,0.0625,289.0,0,0,2,2,2,6,1,3,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,17,17,17,17.0,4
0511912b6,6,0,0,1,1,0,1,0,0,0,0,0,1,0,13.0,12.75,1.3333334,169,169,0,1.7777778999999998,162.5625,0,0,1,1,2,4,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,3,0.75,11,15,51,12.75,4
4e0f3396f,4,0,2,1,1,0,1,0,1,0,1,0,1,2,0.0,11.5,2.0,196,0,4,4.0,132.25,0,0,2,2,2,6,1,3,1,0,0.0,0,0,0.0,1,2,0.5,1,1,0.25,5,14,33,8.25,4
dc75e2c60,5,0,0,1,1,0,1,0,0,0,0,0,0,0,17.0,14.0,1.0,289,289,0,1.0,196.0,0,0,1,1,1,3,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,11,17,28,14.0,4
cf240460a,2,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,21.0,1.0,441,0,0,1.0,441.0,0,0,2,2,2,6,1,3,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,21,21,21,21.0,4
f559d662f,4,0,0,1,1,0,1,0,0,0,1,0,1,0,0.0,6.0,1.5,0,0,0,2.25,36.0,0,0,1,2,2,5,1,3,0,0,0.0,1,1,0.3333333333333333,0,0,0.0,0,0,0.0,0,12,18,6.0,4
f67865c2b,9,2,3,1,1,0,1,0,1,0,1,0,1,5,0.0,21.0,1.75,121,0,25,3.0625,441.0,0,0,2,2,2,6,1,4,1,3,0.42857142857142855,1,3,0.42857142857142855,0,0,0.0,1,1,0.14285714285714285,0,14,42,6.0,4
af1967bf5,6,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,9.0,0.25,81,0,0,0.0625,81.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,9,9.0,2
bc10778dc,2,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,16.0,1.0,256,0,0,1.0,256.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,16,16,16,16.0,4
436ec3fc1,4,0,0,1,1,0,1,0,1,0,0,0,1,0,0.0,2.0,0.5,4,0,0,0.25,4.0,0,0,2,1,2,5,1,3,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,2,2,2,2.0,4
ff9343a35,5,0,0,1,1,0,1,0,1,0,1,0,1,0,6.0,8.0,1.3333334,36,36,0,1.7777778999999998,64.0,0,0,2,2,2,6,1,4,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,11,32,8.0,4
69a27e88d,4,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,9.0,1.0,81,0,0,1.0,81.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,9,9.0,2
0673a6cf3,4,0,0,1,0,1,0,0,1,0,1,0,0,1,0.0,6.0,3.0,36,0,1,9.0,36.0,0,1,2,2,1,5,2,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,10,16,8.0,4
971420e6f,4,1,1,1,0,1,0,0,1,0,1,0,0,2,10.0,11.0,3.0,100,100,4,9.0,121.0,0,1,2,2,1,5,2,2,0,1,0.25,1,1,0.25,1,1,0.25,0,0,0.0,0,12,27,6.75,4
6969c39bc,4,2,2,0,1,0,1,0,1,0,1,0,1,3,11.0,9.5,2.5,121,121,9,6.25,90.25,2,0,2,2,2,6,1,4,1,2,0.4,1,2,0.4,0,0,0.0,0,0,0.0,0,11,27,5.4,3
702880895,7,0,0,1,1,0,1,0,1,0,0,0,1,1,0.0,13.0,0.75,81,0,1,0.5625,169.0,0,0,2,1,2,5,1,3,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.3333333333333333,9,17,35,11.666666666666666,4
357934434,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,1.0,9,9,0,1.0,9.0,4,5,1,1,1,3,2,2,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,3,3,3,3.0,3
7fc5dc154,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0,0,0,4.0,0.0,0,0,1,1,1,3,2,3,1,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,4
95fa482b8,6,1,1,1,1,0,0,0,0,0,0,0,0,2,0.0,6.0,3.3333333,36,0,4,11.111111,36.0,0,0,1,1,1,3,2,3,0,1,0.25,1,1,0.25,0,0,0.0,0,0,0.0,0,6,18,4.5,2
8dfac372f,4,0,0,1,1,0,1,0,1,0,0,0,0,0,11.0,11.0,1.0,121,121,0,1.0,121.0,0,0,2,1,1,4,1,4,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,11,11,22,11.0,4
45c3a3d63,5,1,1,1,1,0,1,0,1,0,1,0,1,2,12.0,14.5,1.3333334,144,144,4,1.7777778999999998,210.25,0,0,2,2,2,6,1,4,1,1,0.25,0,0,0.0,1,1,0.25,1,1,0.25,2,17,38,9.5,4
c5f218a96,5,1,1,1,1,0,1,0,1,0,1,0,1,1,10.0,9.0,1.3333334,100,100,1,1.7777778999999998,81.0,0,0,2,2,2,6,1,3,0,1,0.25,1,1,0.25,0,0,0.0,0,0,0.0,0,11,27,6.75,4
c672764e7,4,0,0,1,1,0,1,0,1,0,0,0,0,0,6.0,9.333333,1.0,36,36,0,1.0,87.11110699999999,0,0,2,1,1,4,1,3,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,11,28,9.333333333333334,4
57403787d,7,1,2,1,1,0,1,0,0,1,0,0,0,3,13.0,10.5,1.25,169,169,9,1.5625,110.25,0,0,1,0,1,2,1,4,1,1,0.2,1,1,0.2,1,1,0.2,1,1,0.2,0,13,31,6.2,4
11ba870f8,4,1,1,1,0,1,0,0,0,0,1,0,1,3,11.0,8.5,2.5,121,121,9,6.25,72.25,0,1,1,2,2,5,2,2,0,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,4,11,37,7.4,4
0592dc939,10,2,3,1,1,0,1,0,1,0,1,0,1,3,6.0,4.5,1.8333334,36,36,9,3.3611112000000003,20.25,0,0,2,2,2,6,1,4,1,3,0.42857142857142855,1,2,0.2857142857142857,1,2,0.2857142857142857,0,0,0.0,0,6,20,2.857142857142857,4
c9a19e08a,6,0,0,1,1,0,1,0,0,0,0,0,0,0,6.0,6.0,1.0,36,36,0,1.0,36.0,0,0,1,1,1,3,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,12,6.0,3
a7abf59cc,6,0,0,1,1,0,1,0,0,0,1,0,1,1,1.0,3.5,1.0,1,1,1,1.0,12.25,0,0,1,2,2,5,1,2,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,0,0,0.0,1,6,12,4.0,4
5492ff7f2,3,0,0,0,1,0,1,1,0,0,0,0,0,0,6.0,6.0,0.5,36,36,0,0.25,36.0,1,0,0,1,1,2,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,6,6.0,4
060027579,4,0,0,1,0,1,1,0,1,0,1,0,1,1,0.0,9.0,1.5,49,0,1,2.25,81.0,0,1,2,2,2,6,1,4,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7,11,27,9.0,4
84147b277,6,0,1,1,1,0,1,0,1,0,1,0,1,1,6.0,8.25,1.25,36,36,1,1.5625,68.0625,0,0,2,2,2,6,1,5,1,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,4,11,37,7.4,4
ac5482af3,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,0.0,1.0,0,0,0,1.0,0.0,0,0,2,2,2,6,1,0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0.0,2
a18c0c0be,9,0,2,1,1,0,1,0,1,0,1,0,1,3,0.0,6.0,1.6666666,36,0,9,2.7777777,36.0,0,0,2,2,2,6,1,2,0,2,0.2,1,1,0.1,1,1,0.1,0,0,0.0,0,7,51,5.1,4
ef8ba2272,8,1,1,1,1,0,1,0,0,0,1,0,1,4,0.0,14.666667000000002,1.75,256,0,16,3.0625,215.11111,0,0,1,2,2,5,1,4,1,1,0.14285714285714285,0,0,0.0,1,1,0.14285714285714285,1,1,0.14285714285714285,2,16,62,8.857142857142858,4
698318dd7,4,0,0,1,1,0,1,0,0,0,0,0,1,0,1.0,2.6666667,1.5,1,1,0,2.25,7.111111599999999,0,0,1,1,2,4,1,2,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,0,0,0.0,1,6,8,2.6666666666666665,4
7791243cc,4,0,0,1,0,1,1,0,0,1,0,0,1,0,8.0,7.0,1.0,64,64,0,1.0,49.0,0,1,1,0,2,3,1,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,8,14,7.0,4
b9de1c057,5,0,0,1,1,0,1,0,0,1,0,0,0,4,0.0,6.666666499999999,2.3333333,0,0,16,5.4444442,44.444443,0,0,1,0,1,2,1,2,0,0,0.0,0,0,0.0,1,1,0.14285714285714285,0,0,0.0,0,10,46,6.571428571428571,4
76c36bad0,6,0,0,1,1,0,1,0,0,0,1,0,1,0,6.0,6.0,0.40000001,36,36,0,0.16000001,36.0,0,0,1,2,2,5,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,6,6.0,4
b6fdd6fac,6,0,0,0,1,0,1,0,1,0,0,0,1,0,9.0,9.0,0.25,81,81,0,0.0625,81.0,2,0,2,1,2,5,1,4,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,9,9.0,2
4d492513a,8,0,0,1,1,0,1,0,1,0,0,0,1,0,15.0,16.333334,0.75,225,225,0,0.5625,266.7778,0,0,2,1,2,5,1,5,1,0,0.0,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,15,17,49,16.333333333333332,4
1219d846d,5,0,1,1,1,0,1,0,1,0,1,0,1,1,11.0,12.333333,2.0,121,121,1,4.0,152.1111,0,0,2,2,2,6,1,2,0,1,0.25,1,1,0.25,0,0,0.0,1,1,0.25,0,15,37,9.25,4
b8618998c,6,0,0,1,0,1,1,0,1,0,1,0,1,2,6.0,10.0,1.4,36,36,4,1.9599999,100.0,0,1,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,11,57,8.142857142857142,4
47721e5bf,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0.0,8.0,1.0,64,0,1,1.0,64.0,0,0,1,1,1,3,2,2,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,3,8,11,5.5,2
f9ddb6edf,3,0,0,1,1,0,0,0,0,0,0,0,0,0,6.0,6.0,0.5,36,36,0,0.25,36.0,0,0,1,1,1,3,2,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,6,6.0,4
b520c9c4c,7,0,0,1,1,0,1,0,1,0,1,0,1,1,0.0,14.0,0.75,289,0,1,0.5625,196.0,0,0,2,2,2,6,1,3,1,0,0.0,0,0,0.0,0,0,0.0,1,1,0.3333333333333333,7,17,35,11.666666666666666,4
c9bce3388,6,0,3,1,1,0,1,0,1,0,1,0,1,3,9.0,11.5,1.6666666,81,81,9,2.7777777,132.25,0,0,2,2,2,6,1,3,1,3,0.6,1,2,0.4,1,1,0.2,1,1,0.2,0,14,24,4.8,4
70c6cff30,5,0,0,0,1,0,1,0,0,0,0,0,1,1,0.0,15.0,1.0,256,0,1,1.0,225.0,4,0,1,1,2,4,1,2,0,0,0.0,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,8,16,38,12.666666666666666,4
8dcbd672c,5,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0,3.0,1.0,1,0,0,1.0,9.0,4,1,2,2,2,6,2,2,0,0,0.0,0,0,0.0,1,2,0.6666666666666666,0,0,0.0,1,6,9,3.0,4
fd8a6d014,4,2,7,0,0,1,0,0,0,0,1,0,1,9,0.0,4.0,4.3333335,0,0,81,18.777779,16.0,5,1,1,2,2,5,2,2,0,6,0.46153846153846156,1,5,0.38461538461538464,1,5,0.38461538461538464,0,0,0.0,0,9,34,2.6153846153846154,1
a711554b0,6,0,0,1,1,0,1,0,1,0,1,0,1,0,6.0,9.0,1.0,36,36,0,1.0,81.0,0,0,2,2,2,6,1,3,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.3333333333333333,6,15,27,9.0,4
0e0b899cb,5,0,0,1,1,0,1,0,0,0,0,0,0,2,11.0,14.0,1.3333334,121,121,4,1.7777778999999998,196.0,0,0,1,1,1,3,1,2,0,0,0.0,0,0,0.0,1,1,0.25,0,0,0.0,5,11,33,8.25,4
713d63586,5,0,1,1,1,0,1,0,1,0,1,0,0,1,0.0,13.333332999999998,1.3333334,196,0,1,1.7777778999999998,177.77777,0,0,2,2,1,5,1,3,1,0,0.0,0,0,0.0,1,1,0.25,1,2,0.5,2,14,42,10.5,4
4885fbef1,6,0,0,0,1,0,1,0,0,0,0,0,0,0,7.0,7.0,0.33333334,49,49,0,0.11111112,49.0,1,0,1,1,1,3,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7,7,7,7.0,3
ac1cf1b12,5,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,8.5,0.66666669,36,0,0,0.44444448,72.25,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,11,17,8.5,4
f33a63d2e,2,1,3,0,1,0,1,0,0,0,0,0,0,3,0.0,8.333333,6.0,36,0,9,36.0,69.444443,1,0,1,1,1,3,1,2,0,3,0.5,1,3,0.5,0,0,0.0,0,0,0.0,0,11,25,4.166666666666667,4
c68d5276f,5,0,0,1,1,0,0,1,0,1,0,1,0,1,6.0,9.25,1.6666666,36,36,1,2.7777777,85.5625,0,0,0,0,0,0,2,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,12,45,9.0,4
39fc3fc6f,5,0,0,1,1,0,1,0,1,0,1,0,1,0,6.0,4.5,1.0,36,36,0,1.0,20.25,0,0,2,2,2,6,1,3,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,3,6,9,4.5,3
abede0d0a,5,0,1,1,1,0,1,0,1,0,1,0,1,2,6.0,7.666666499999999,1.6666666,36,36,4,2.7777777,58.777775,0,0,2,2,2,6,1,2,0,1,0.2,0,0,0.0,1,1,0.2,0,0,0.0,2,11,31,6.2,4
0369a5d78,6,1,1,1,1,0,1,0,1,0,0,0,1,1,11.0,13.5,1.5,121,121,1,2.25,182.25,0,0,2,1,2,5,1,4,1,0,0.0,1,1,0.3333333333333333,0,0,0.0,1,1,0.3333333333333333,0,16,27,9.0,4
f92cc1ebe,4,0,0,1,1,0,1,0,1,0,1,0,1,0,8.0,4.6666665,1.5,64,64,0,2.25,21.777777,0,0,2,2,2,6,1,3,0,0,0.0,1,1,0.3333333333333333,0,0,0.0,0,0,0.0,0,8,14,4.666666666666667,2
bbed86e18,5,0,0,1,1,0,1,0,0,0,0,0,1,0,0.0,11.0,0.33333334,121,0,0,0.11111112,121.0,0,0,1,1,2,4,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,11,11,11,11.0,2
0de07ca9a,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0,3.0,0.5,9,0,0,0.25,9.0,2,1,2,2,2,6,2,0,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,3,3,3,3.0,4
b5ef58310,3,0,0,0,1,0,1,0,1,0,1,0,1,0,6.0,6.0,1.0,36,36,0,1.0,36.0,2,0,2,2,2,6,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,6,6.0,4
7534b04c6,2,0,0,1,1,0,0,0,0,0,0,0,0,0,6.0,6.0,1.0,36,36,0,1.0,36.0,0,0,1,1,1,3,2,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,6,6.0,4
8dae8c2c8,6,0,1,1,1,0,0,0,1,0,1,0,1,3,11.0,14.0,1.6666666,121,121,9,2.7777777,196.0,0,0,2,2,2,6,2,2,0,1,0.2,1,1,0.2,0,0,0.0,0,0,0.0,0,11,36,7.2,4
f29067293,5,0,0,1,1,0,1,0,1,0,1,0,1,1,4.0,5.0,1.0,16,16,1,1.0,25.0,0,0,2,2,2,6,1,4,1,0,0.0,0,0,0.0,1,2,0.6666666666666666,0,0,0.0,4,6,15,5.0,3
6824a496c,5,0,0,1,1,0,1,0,1,0,1,0,1,0,0.0,6.0,1.0,36,0,0,1.0,36.0,0,0,2,2,2,6,1,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,18,6.0,4
09d9f0be5,3,0,0,1,1,0,1,0,1,0,1,0,1,0,13.0,13.0,1.0,169,169,0,1.0,169.0,0,0,2,2,2,6,1,2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,13,13,13,13.0,4
146bf0547,5,0,2,1,1,0,1,0,1,0,1,0,1,2,6.0,6.0,2.0,36,36,4,4.0,36.0,0,0,2,2,2,6,1,3,0,2,0.5,1,1,0.25,1,1,0.25,0,0,0.0,0,6,15,3.75,3
